Year,State.Code,State.Name,Income,Math,Verbal
2005,OK,Oklahoma,Between 20-40k,528,539
2005,OK,Oklahoma,Between 40-60k,555,563
2005,OK,Oklahoma,Between 60-80k,566,580
2005,OK,Oklahoma,Between 80-100k,570,578
2005,OK,Oklahoma,Less than 20k,511,505
2005,OK,Oklahoma,More than 100k,580,586
2005,OR,Oregon,Between 20-40k,504,503
2005,OR,Oregon,Between 40-60k,516,519
2005,OR,Oregon,Between 60-80k,530,530
2005,OR,Oregon,Between 80-100k,539,537
2005,OR,Oregon,Less than 20k,484,472
2005,OR,Oregon,More than 100k,559,555
2005,PA,Pennsylvania,Between 20-40k,468,468
2005,PA,Pennsylvania,Between 40-60k,494,494
2005,PA,Pennsylvania,Between 60-80k,509,507
2005,PA,Pennsylvania,Between 80-100k,523,521
2005,PA,Pennsylvania,Less than 20k,430,424
2005,PA,Pennsylvania,More than 100k,558,550
2005,PR,Puerto Rico,Between 20-40k,431,431
2005,PR,Puerto Rico,Between 40-60k,446,462
2005,PR,Puerto Rico,Between 60-80k,465,464
2005,PR,Puerto Rico,Between 80-100k,479,488
2005,PR,Puerto Rico,Less than 20k,396,403
2005,PR,Puerto Rico,More than 100k,512,507
2005,RI,Rhode Island,Between 20-40k,468,467
2005,RI,Rhode Island,Between 40-60k,500,495
2005,RI,Rhode Island,Between 60-80k,513,514
2005,RI,Rhode Island,Between 80-100k,531,530
2005,RI,Rhode Island,Less than 20k,421,411
2005,RI,Rhode Island,More than 100k,555,549
2005,SC,South Carolina,Between 20-40k,469,466
2005,SC,South Carolina,Between 40-60k,494,492
2005,SC,South Carolina,Between 60-80k,510,507
2005,SC,South Carolina,Between 80-100k,526,519
2005,SC,South Carolina,Less than 20k,429,425
2005,SC,South Carolina,More than 100k,545,535
2005,SD,South Dakota,Between 20-40k,552,568
2005,SD,South Dakota,Between 40-60k,584,588
2005,SD,South Dakota,Between 60-80k,602,596
2005,SD,South Dakota,Between 80-100k,599,595
2005,SD,South Dakota,Less than 20k,0,531
2005,SD,South Dakota,More than 100k,634,633
2005,TN,Tennessee,Between 20-40k,524,536
2005,TN,Tennessee,Between 40-60k,543,558
2005,TN,Tennessee,Between 60-80k,559,575
2005,TN,Tennessee,Between 80-100k,572,582
2005,TN,Tennessee,Less than 20k,499,498
2005,TN,Tennessee,More than 100k,585,588
2005,TX,Texas,Between 20-40k,467,459
2005,TX,Texas,Between 40-60k,495,489
2005,TX,Texas,Between 60-80k,510,503
2005,TX,Texas,Between 80-100k,528,521
2005,TX,Texas,Less than 20k,430,416
2005,TX,Texas,More than 100k,557,544
2005,UT,Utah,Between 20-40k,539,562
2005,UT,Utah,Between 40-60k,553,568
2005,UT,Utah,Between 60-80k,570,576
2005,UT,Utah,Between 80-100k,560,566
2005,UT,Utah,Less than 20k,539,516
2005,UT,Utah,More than 100k,576,591
2005,VT,Vermont,Between 20-40k,492,500
2005,VT,Vermont,Between 40-60k,505,512
2005,VT,Vermont,Between 60-80k,519,523
2005,VT,Vermont,Between 80-100k,539,539
2005,VT,Vermont,Less than 20k,470,480
2005,VT,Vermont,More than 100k,558,551
2005,VI,Virgin Islands,Between 20-40k,399,419
2005,VI,Virgin Islands,Between 40-60k,412,433
2005,VI,Virgin Islands,Between 60-80k,454,455
2005,VI,Virgin Islands,Between 80-100k,442,478
2005,VI,Virgin Islands,Less than 20k,372,381
2005,VI,Virgin Islands,More than 100k,528,538
2005,VA,Virginia,Between 20-40k,489,503
2005,VA,Virginia,Between 40-60k,494,513
2005,VA,Virginia,Between 60-80k,511,526
2005,VA,Virginia,Between 80-100k,517,526
2005,VA,Virginia,Less than 20k,471,491
2005,VA,Virginia,More than 100k,549,552
2005,WA,Washington,Between 20-40k,501,499
2005,WA,Washington,Between 40-60k,523,523
2005,WA,Washington,Between 60-80k,531,532
2005,WA,Washington,Between 80-100k,541,539
2005,WA,Washington,Less than 20k,481,468
2005,WA,Washington,More than 100k,561,556
2005,WI,Wisconsin,Between 20-40k,559,559
2005,WI,Wisconsin,Between 40-60k,591,580
2005,WI,Wisconsin,Between 60-80k,595,591
2005,WI,Wisconsin,Between 80-100k,608,602
2005,WI,Wisconsin,Less than 20k,515,488
2005,WI,Wisconsin,More than 100k,618,609
2005,WY,Wyoming,Between 20-40k,506,509
2005,WY,Wyoming,Between 40-60k,539,547
2005,WY,Wyoming,Between 60-80k,553,546
2005,WY,Wyoming,Between 80-100k,557,554
2005,WY,Wyoming,Less than 20k,0,474
2005,WY,Wyoming,More than 100k,553,568
2006,AL,Alabama,Between 20-40k,516,519
2006,AL,Alabama,Between 40-60k,535,547
2006,AL,Alabama,Between 60-80k,565,563
2006,AL,Alabama,Between 80-100k,573,580
2006,AL,Alabama,Less than 20k,445,459
2006,AL,Alabama,More than 100k,587,590
2006,AK,Alaska,Between 20-40k,486,484
2006,AK,Alaska,Between 40-60k,511,514
2006,AK,Alaska,Between 60-80k,513,517
2006,AK,Alaska,Between 80-100k,531,528
2006,AK,Alaska,Less than 20k,481,478
2006,AK,Alaska,More than 100k,542,541
2006,AZ,Arizona,Between 20-40k,501,495
2006,AZ,Arizona,Between 40-60k,517,508
2006,AZ,Arizona,Between 60-80k,524,521
2006,AZ,Arizona,Between 80-100k,537,531
2006,AZ,Arizona,Less than 20k,489,477
2006,AZ,Arizona,More than 100k,550,539
2006,AR,Arkansas,Between 20-40k,548,546
2006,AR,Arkansas,Between 40-60k,555,578
2006,AR,Arkansas,Between 60-80k,559,575
2006,AR,Arkansas,Between 80-100k,573,576
2006,AR,Arkansas,Less than 20k,508,501
2006,AR,Arkansas,More than 100k,592,600
2006,CA,California,Between 20-40k,476,459
2006,CA,California,Between 40-60k,504,491
2006,CA,California,Between 60-80k,519,506
2006,CA,California,Between 80-100k,536,523
2006,CA,California,Less than 20k,455,429
2006,CA,California,More than 100k,564,548
2006,CO,Colorado,Between 20-40k,539,533
2006,CO,Colorado,Between 40-60k,548,549
2006,CO,Colorado,Between 60-80k,555,553
2006,CO,Colorado,Between 80-100k,571,561
2006,CO,Colorado,Less than 20k,529,514
2006,CO,Colorado,More than 100k,575,563
2006,CT,Connecticut,Between 20-40k,464,465
2006,CT,Connecticut,Between 40-60k,494,495
2006,CT,Connecticut,Between 60-80k,507,504
2006,CT,Connecticut,Between 80-100k,525,521
2006,CT,Connecticut,Less than 20k,429,429
2006,CT,Connecticut,More than 100k,565,554
2006,DE,Delaware,Between 20-40k,457,456
2006,DE,Delaware,Between 40-60k,481,476
2006,DE,Delaware,Between 60-80k,498,491
2006,DE,Delaware,Between 80-100k,519,513
2006,DE,Delaware,Less than 20k,414,414
2006,DE,Delaware,More than 100k,549,540
2006,DC,District Of Columbia,Between 20-40k,392,413
2006,DC,District Of Columbia,Between 40-60k,430,451
2006,DC,District Of Columbia,Between 60-80k,468,490
2006,DC,District Of Columbia,Between 80-100k,507,526
2006,DC,District Of Columbia,Less than 20k,381,384
2006,DC,District Of Columbia,More than 100k,608,617
2006,FL,Florida,Between 20-40k,469,471
2006,FL,Florida,Between 40-60k,493,493
2006,FL,Florida,Between 60-80k,503,503
2006,FL,Florida,Between 80-100k,517,516
2006,FL,Florida,Less than 20k,434,435
2006,FL,Florida,More than 100k,540,533
2006,GA,Georgia,Between 20-40k,458,460
2006,GA,Georgia,Between 40-60k,483,487
2006,GA,Georgia,Between 60-80k,499,499
2006,GA,Georgia,Between 80-100k,517,516
2006,GA,Georgia,Less than 20k,428,426
2006,GA,Georgia,More than 100k,545,536
2006,HI,Hawaii,Between 20-40k,481,456
2006,HI,Hawaii,Between 40-60k,495,478
2006,HI,Hawaii,Between 60-80k,507,481
2006,HI,Hawaii,Between 80-100k,529,500
2006,HI,Hawaii,Less than 20k,462,431
2006,HI,Hawaii,More than 100k,558,523
2006,ID,Idaho,Between 20-40k,529,526
2006,ID,Idaho,Between 40-60k,531,537
2006,ID,Idaho,Between 60-80k,546,546
2006,ID,Idaho,Between 80-100k,551,549
2006,ID,Idaho,Less than 20k,530,505
2006,ID,Idaho,More than 100k,568,562
2006,IL,Illinois,Between 20-40k,568,555
2006,IL,Illinois,Between 40-60k,578,569
2006,IL,Illinois,Between 60-80k,598,585
2006,IL,Illinois,Between 80-100k,609,594
2006,IL,Illinois,Less than 20k,560,540
2006,IL,Illinois,More than 100k,626,605
2006,IN,Indiana,Between 20-40k,482,476
2006,IN,Indiana,Between 40-60k,503,492
2006,IN,Indiana,Between 60-80k,509,498
2006,IN,Indiana,Between 80-100k,523,508
2006,IN,Indiana,Less than 20k,456,453
2006,IN,Indiana,More than 100k,546,529
2006,IA,Iowa,Between 20-40k,608,587
2006,IA,Iowa,Between 40-60k,597,590
2006,IA,Iowa,Between 60-80k,612,615
2006,IA,Iowa,Between 80-100k,619,598
2006,IA,Iowa,Less than 20k,526,511
2006,IA,Iowa,More than 100k,635,624
2006,KS,Kansas,Between 20-40k,576,563
2006,KS,Kansas,Between 40-60k,585,593
2006,KS,Kansas,Between 60-80k,591,588
2006,KS,Kansas,Between 80-100k,591,588
2006,KS,Kansas,Less than 20k,514,489
2006,KS,Kansas,More than 100k,600,590
2006,KY,Kentucky,Between 20-40k,526,531
2006,KY,Kentucky,Between 40-60k,550,560
2006,KY,Kentucky,Between 60-80k,552,555
2006,KY,Kentucky,Between 80-100k,564,564
2006,KY,Kentucky,Less than 20k,518,491
2006,KY,Kentucky,More than 100k,577,571
2006,LA,Louisiana,Between 20-40k,517,516
2006,LA,Louisiana,Between 40-60k,536,555
2006,LA,Louisiana,Between 60-80k,573,572
2006,LA,Louisiana,Between 80-100k,573,585
2006,LA,Louisiana,Less than 20k,490,472
2006,LA,Louisiana,More than 100k,597,594
2006,ME,Maine,Between 20-40k,486,490
2006,ME,Maine,Between 40-60k,498,498
2006,ME,Maine,Between 60-80k,513,510
2006,ME,Maine,Between 80-100k,524,517
2006,ME,Maine,Less than 20k,450,457
2006,ME,Maine,More than 100k,544,538
2006,MD,Maryland,Between 20-40k,457,455
2006,MD,Maryland,Between 40-60k,488,485
2006,MD,Maryland,Between 60-80k,504,502
2006,MD,Maryland,Between 80-100k,526,521
2006,MD,Maryland,Less than 20k,418,411
2006,MD,Maryland,More than 100k,564,553
2006,MA,Massachusetts,Between 20-40k,483,472
2006,MA,Massachusetts,Between 40-60k,504,497
2006,MA,Massachusetts,Between 60-80k,514,505
2006,MA,Massachusetts,Between 80-100k,533,521
2006,MA,Massachusetts,Less than 20k,447,431
2006,MA,Massachusetts,More than 100k,572,558
2006,MI,Michigan,Between 20-40k,535,526
2006,MI,Michigan,Between 40-60k,561,553
2006,MI,Michigan,Between 60-80k,573,563
2006,MI,Michigan,Between 80-100k,584,565
2006,MI,Michigan,Less than 20k,510,494
2006,MI,Michigan,More than 100k,611,592
2006,MN,Minnesota,Between 20-40k,560,553
2006,MN,Minnesota,Between 40-60k,583,584
2006,MN,Minnesota,Between 60-80k,587,588
2006,MN,Minnesota,Between 80-100k,601,592
2006,MN,Minnesota,Less than 20k,544,524
2006,MN,Minnesota,More than 100k,616,603
2006,MS,Mississippi,Between 20-40k,485,510
2006,MS,Mississippi,Between 40-60k,532,544
2006,MS,Mississippi,Between 60-80k,525,554
2006,MS,Mississippi,Between 80-100k,579,589
2006,MS,Mississippi,Less than 20k,436,474
2006,MS,Mississippi,More than 100k,593,606
2006,MO,Missouri,Between 20-40k,552,547
2006,MO,Missouri,Between 40-60k,564,575
2006,MO,Missouri,Between 60-80k,581,581
2006,MO,Missouri,Between 80-100k,603,593
2006,MO,Missouri,Less than 20k,503,491
2006,MO,Missouri,More than 100k,615,606
2006,MT,Montana,Between 20-40k,546,532
2006,MT,Montana,Between 40-60k,544,543
2006,MT,Montana,Between 60-80k,553,541
2006,MT,Montana,Between 80-100k,550,538
2006,MT,Montana,Less than 20k,516,514
2006,MT,Montana,More than 100k,566,555
2006,NE,Nebraska,Between 20-40k,540,549
2006,NE,Nebraska,Between 40-60k,567,564
2006,NE,Nebraska,Between 60-80k,588,580
2006,NE,Nebraska,Between 80-100k,591,580
2006,NE,Nebraska,Less than 20k,526,508
2006,NE,Nebraska,More than 100k,602,592
2006,NV,Nevada,Between 20-40k,487,475
2006,NV,Nevada,Between 40-60k,501,491
2006,NV,Nevada,Between 60-80k,502,494
2006,NV,Nevada,Between 80-100k,513,508
2006,NV,Nevada,Less than 20k,470,457
2006,NV,Nevada,More than 100k,531,516
2006,NH,New Hampshire,Between 20-40k,491,491
2006,NH,New Hampshire,Between 40-60k,502,504
2006,NH,New Hampshire,Between 60-80k,515,514
2006,NH,New Hampshire,Between 80-100k,525,518
2006,NH,New Hampshire,Less than 20k,466,471
2006,NH,New Hampshire,More than 100k,551,541
2006,NJ,New Jersey,Between 20-40k,465,448
2006,NJ,New Jersey,Between 40-60k,495,480
2006,NJ,New Jersey,Between 60-80k,510,494
2006,NJ,New Jersey,Between 80-100k,525,507
2006,NJ,New Jersey,Less than 20k,432,409
2006,NJ,New Jersey,More than 100k,563,541
2006,NM,New Mexico,Between 20-40k,510,522
2006,NM,New Mexico,Between 40-60k,520,542
2006,NM,New Mexico,Between 60-80k,534,548
2006,NM,New Mexico,Between 80-100k,554,566
2006,NM,New Mexico,Less than 20k,513,494
2006,NM,New Mexico,More than 100k,589,586
2006,NY,New York,Between 20-40k,481,466
2006,NY,New York,Between 40-60k,506,491
2006,NY,New York,Between 60-80k,518,502
2006,NY,New York,Between 80-100k,530,515
2006,NY,New York,Less than 20k,451,429
2006,NY,New York,More than 100k,569,548
2006,NC,North Carolina,Between 20-40k,477,463
2006,NC,North Carolina,Between 40-60k,507,489
2006,NC,North Carolina,Between 60-80k,521,501
2006,NC,North Carolina,Between 80-100k,536,518
2006,NC,North Carolina,Less than 20k,446,429
2006,NC,North Carolina,More than 100k,562,542
2006,ND,North Dakota,Between 20-40k,560,587
2006,ND,North Dakota,Between 40-60k,617,609
2006,ND,North Dakota,Between 60-80k,586,606
2006,ND,North Dakota,Between 80-100k,634,614
2006,ND,North Dakota,Less than 20k,293,292
2006,ND,North Dakota,More than 100k,623,616
2006,OH,Ohio,Between 20-40k,505,503
2006,OH,Ohio,Between 40-60k,527,524
2006,OH,Ohio,Between 60-80k,537,531
2006,OH,Ohio,Between 80-100k,551,541
2006,OH,Ohio,Less than 20k,463,459
2006,OH,Ohio,More than 100k,575,558
2006,OK,Oklahoma,Between 20-40k,545,550
2006,OK,Oklahoma,Between 40-60k,562,570
2006,OK,Oklahoma,Between 60-80k,571,579
2006,OK,Oklahoma,Between 80-100k,575,590
2006,OK,Oklahoma,Less than 20k,546,538
2006,OK,Oklahoma,More than 100k,588,587
2006,OR,Oregon,Between 20-40k,506,500
2006,OR,Oregon,Between 40-60k,522,518
2006,OR,Oregon,Between 60-80k,528,521
2006,OR,Oregon,Between 80-100k,541,535
2006,OR,Oregon,Less than 20k,487,473
2006,OR,Oregon,More than 100k,563,553
2006,PA,Pennsylvania,Between 20-40k,467,465
2006,PA,Pennsylvania,Between 40-60k,492,488
2006,PA,Pennsylvania,Between 60-80k,503,497
2006,PA,Pennsylvania,Between 80-100k,521,511
2006,PA,Pennsylvania,Less than 20k,433,429
2006,PA,Pennsylvania,More than 100k,554,540
2006,PR,Puerto Rico,Between 20-40k,422,432
2006,PR,Puerto Rico,Between 40-60k,444,464
2006,PR,Puerto Rico,Between 60-80k,456,464
2006,PR,Puerto Rico,Between 80-100k,472,482
2006,PR,Puerto Rico,Less than 20k,391,407
2006,PR,Puerto Rico,More than 100k,495,493
2006,RI,Rhode Island,Between 20-40k,468,466
2006,RI,Rhode Island,Between 40-60k,494,489
2006,RI,Rhode Island,Between 60-80k,507,500
2006,RI,Rhode Island,Between 80-100k,523,517
2006,RI,Rhode Island,Less than 20k,416,416
2006,RI,Rhode Island,More than 100k,555,542
2006,SC,South Carolina,Between 20-40k,468,462
2006,SC,South Carolina,Between 40-60k,496,487
2006,SC,South Carolina,Between 60-80k,509,497
2006,SC,South Carolina,Between 80-100k,526,512
2006,SC,South Carolina,Less than 20k,435,424
2006,SC,South Carolina,More than 100k,542,527
2006,SD,South Dakota,Between 20-40k,559,557
2006,SD,South Dakota,Between 40-60k,595,573
2006,SD,South Dakota,Between 60-80k,588,614
2006,SD,South Dakota,Between 80-100k,644,609
2006,SD,South Dakota,Less than 20k,273,269
2006,SD,South Dakota,More than 100k,608,605
2006,TN,Tennessee,Between 20-40k,533,542
2006,TN,Tennessee,Between 40-60k,546,558
2006,TN,Tennessee,Between 60-80k,557,572
2006,TN,Tennessee,Between 80-100k,580,582
2006,TN,Tennessee,Less than 20k,515,513
2006,TN,Tennessee,More than 100k,588,589
2006,TX,Texas,Between 20-40k,473,458
2006,TX,Texas,Between 40-60k,501,489
2006,TX,Texas,Between 60-80k,514,499
2006,TX,Texas,Between 80-100k,531,516
2006,TX,Texas,Less than 20k,438,422
2006,TX,Texas,More than 100k,559,540
2006,UT,Utah,Between 20-40k,525,542
2006,UT,Utah,Between 40-60k,566,573
2006,UT,Utah,Between 60-80k,557,563
2006,UT,Utah,Between 80-100k,576,586
2006,UT,Utah,Less than 20k,526,506
2006,UT,Utah,More than 100k,572,575
2006,VT,Vermont,Between 20-40k,497,501
2006,VT,Vermont,Between 40-60k,510,507
2006,VT,Vermont,Between 60-80k,516,506
2006,VT,Vermont,Between 80-100k,537,531
2006,VT,Vermont,Less than 20k,468,466
2006,VT,Vermont,More than 100k,560,550
2006,VI,Virgin Islands,Between 20-40k,397,424
2006,VI,Virgin Islands,Between 40-60k,398,432
2006,VI,Virgin Islands,Between 60-80k,450,467
2006,VI,Virgin Islands,Between 80-100k,456,474
2006,VI,Virgin Islands,Less than 20k,371,386
2006,VI,Virgin Islands,More than 100k,525,520
2006,VA,Virginia,Between 20-40k,476,493
2006,VA,Virginia,Between 40-60k,498,512
2006,VA,Virginia,Between 60-80k,511,514
2006,VA,Virginia,Between 80-100k,524,536
2006,VA,Virginia,Less than 20k,467,486
